Mr. & Mrs. Smith,142193511,115577734.3,3300440,330044,10,4075,382,100,176,59,618163694
Insurgent,117316014,215706861.5,1128831672,47034653,24,161362,6464,100,3757,1570,314874264
The Aviator,155047805,132024026.6,78309864,3262911,24,5720,235,81,1837,555,136335139
Gulliver's Travels,129921763,180462936.8,6891824,861478,8,1680,204,120,1710,582,275367696
The Green Hornet,134885551,197163814.1,23629401,2625489,9,3952,411,108,1493,614,256077125
300: Rise of an Empire,117433330,243053702,370208983,21776999,17,66787,3757,100,673,417,360392269
The Smurfs,123645088,220919641.4,18662856,6220952,3,5419,1692,116,2986,1071,633680317
Home on the Range,147028091,208859948.6,4865200,973040,5,443,79,112,4907,977,138943498
Allegiant,115810478,137641863.1,247319599,13016821,19,54650,2788,37,60,20,188715141
Real Steel,123645088,140989486.8,72122340,6010195,12,11618,952,120,1519,616,336391647
The Smurfs 2,113888979,203812562.4,3356847,1118949,3,4392,1264,117,431,560,376846893
Ender's Game,119312264,213398139.9,274321112,21101624,13,57599,4202,35,94,24,136164786
Live Free or Die Hard,134031527,201371921.9,6144264,768033,8,1672,204,101,806,264,467320981
The Lord of the Rings: The Fellowship of the Ring,132687608,537321746.8,92828653,5460509,17,24870,1415,63,65,31,1243223486
Around the World in 80 Days,147028091,173516498,6461565,587415,11,1258,108,109,1393,336,96475683
Ali,152662087,133036702.7,67865538,1740142,39,21636,553,81,1243,366,125145566
"I, Robot",160394281,170793316.7,124969376,4463192,28,15627,555,119,1940,488,464120788
Kingdom of Heaven,168046877,244307769.7,72399376,4524961,16,7341,436,93,706,313,273584398
The Princess and the Frog,123750479,154646432.4,27910020,9303340,3,7953,2090,18,7,4,314733727
The Martian,115182996,102050528.9,1206610210,38922910,31,148596,4720,88,2688,522,672073466
The Island,162876204,210051897.2,12684496,1153136,11,2552,227,118,18021,10268,210639216
Town & Country,128407363,111915393.8,4928089132,72471899,68,955525,13945,103,157,88,14798650
Gone in Sixty Seconds,132002769,181666702.1,4933838,352417,14,619,43,101,2269,636,347904003
Gladiator,151069836,249460280,13770496,1721312,8,6563,791,105,3106,343,671220040
Minority Report,143236560,134284375.1,45276542,2663326,17,2779,160,120,2965,1193,503255931
Harry Potter and the Chamber of Secrets,140428000,728045829.7,49893900,997878,50,4516,89,116,6510,1197,1231116099
Casino Royale,187887832,115681653.6,37296135,2486409,15,6858,443,77,344,35,750356311
Planet of the Apes,142674848,243647486.4,267994160,16749635,16,62776,3863,88,304,63,516785048
Public Enemies,94286079,168872975,130923384,5455141,24,10040,416,99,2896,885,252338565
American Gangster,121846843,122346320.4,245177634,9429909,26,36982,1376,114,3139,1175,324679236
The Taking of Pelham 1 2 3,117857599,159474247.6,20676148,1216244,17,2068,118,115,330,75,176982191
Little Fockers,116001574,172607101.6,771515,154303,5,539,94,114,611,182,360359568
The Other Guys,116001574,157528774.8,239892495,8272155,29,20482,703,93,2801,554,197704878
Django Unchained,110092680,90611638.07,414057431,18002497,23,51301,2215,118,3613,1045,468299291
The Emperor's New Groove,146669743,343128066.4,8718090,1453015,6,222,34,116,18626,8156,248352484
The Expendables 2,110092680,166370276.6,353713038,11410098,31,21406,684,113,466,226,344120457
National Treasure,133661901,148299493.2,15869316,1322443,12,2013,157,115,579,55,464410805
Eragon,125258555,194276208.4,12299156,3074789,4,4319,1033,103,10032,1166,312254677
Where the Wild Things Are,117857599,101706551.3,58430640,1947688,30,8285,268,60,1274,182,117959891
Epic,108465694,200425928.6,18145770,1814577,10,8910,813,118,4485,939,291150812
The Tourist,116001574,76013020.44,45484960,2274248,20,3897,193,108,1555,436,323332775
